workload,input_rows,executor_memory_gb,executor_cores,shuffle_partitions,aqe_enabled,skew_join_enabled,kryo_enabled,memory_fraction,replicates,duration_mean_s,duration_sd_s,spill_mean_gib
etl,1000000,1,1,200,1,1,0,0.6,1,7.019,,0
etl,10000000,1,1,200,1,1,0,0.6,1,6.938,,0
heavy_shuffle,1000000,1,1,10,1,1,0,0.6,6,9.0665,0.281559,0
heavy_shuffle,1000000,1,1,10,1,1,1,0.6,13,9.230615,0.646330,0
heavy_shuffle,1000000,1,1,200,1,1,0,0.6,7,12.383714,1.044997,0
skew_join,1000000,1,1,10,0,0,0,0.6,7,7.475714,0.424900,0
skew_join,1000000,1,1,10,1,1,1,0.6,7,7.733714,0.441743,0
skew_join,1000000,1,1,200,0,0,0,0.6,7,11.982143,0.550536,0
skew_join,1000000,1,1,200,1,1,0,0.6,1,8.081,,0
sql_joins,1000000,1,1,10,1,1,1,0.6,7,12.338000,0.687977,0
sql_joins,1000000,1,1,200,1,1,0,0.6,7,12.312143,0.605069,0
sql_joins,10000000,1,1,10,1,1,0,0.6,7,18.997714,1.242483,0.843747
sql_joins,10000000,2,1,10,1,1,1,0.6,1,19.397,,0.843747
sql_joins,10000000,1,1,10,1,1,1,0.6,1,20.566,,0.843747
sql_joins,10000000,1,1,200,1,1,0,0.6,7,19.154714,1.761719,0.812497
sql_joins,10000000,1,1,200,1,1,1,0.6,1,21.383,,0.812497
